,Hash,String
0,DC02000000000000,Anti-Radar
1,4203000000000000,C1A1 SLR
2,4303000000000000,C2A1
3,9A03000000000000,Type 64 LMG
4,4405000000000000,K3 LMG
5,4505000000000000,K4
6,C705000000000000,M6
7,0B06000000000000,NA
8,4607000000000000,S-5M
9,4907000000000000,S-8OFP
10,A007000000000000,TV guidance
11,D560000000000000,SPW-152K
12,C4A5000000000000,9M3
13,B2AC000000000000,9mm PB
14,D7B2000000000000,AAM
15,44B4000000000000,AG-3
16,57B4000000000000,AGM
17,8DB6000000000000,Armored Personnel Carrier
18,57B7000000000000,Anti-Ship Missile
19,85B7000000000000,AT4
20,05BC000000000000,AK4
21,DCC2000000000000,Kg m/37
22,C3E0000000000000,D-22
23,45E1000000000000,D44
24,46E1000000000000,D-45
25,4AE1000000000000,D-49
26,01E2000000000000,D-70
27,57F3000000000000,Electronic Warfare
28,8700010000000000,F-16A FIGHTING FALCON
29,4C06010000000000,FOB
30,CB12010000000000,Ground Attack Aircraft
31,0925010000000000,HJ-8
32,0A25010000000000,HJ-9
33,D125010000000000,HMG
34,C826010000000000,HQ-7
35,2034010000000000,Infantry Fighting Vehicle
36,EB3C010000000000,Rifle Squad
37,0B53010000000000,KBA 25
38,4C53010000000000,KCB
39,8F53010000000000,KDE 35
40,8760010000000000,L16A2
41,C960010000000000,L28
42,0161010000000000,L30
43,C361010000000000,L/62
44,4762010000000000,L86 LMG
45,E162010000000000,LAW
46,D165010000000000,LMG
47,8367010000000000,LT-2
48,C770010000000000,M26
49,CA70010000000000,M29
50,0371010000000000,M32
51,0871010000000000,M37
52,4171010000000000,M40
53,4271010000000000,M41A1 #reco1
54,C271010000000000,M61A1 Vulcan
55,0172010000000000,M70
56,0672010000000000,M75
57,E172010000000000,MAW
58,1E73010000000000,Main Battle Tank
59,C374010000000000,Mi-2 #reco2
60,C574010000000000,Mi-4
61,CA74010000000000,Mi-8R #reco3
62,D175010000000000,MMG
63,877B010000000000,Mi-6
64,0881010000000000,N-37
65,269E010000000000,MOSKIT
66,57A5010000000000,PKM
67,83A5010000000000,PL-2
68,86A5010000000000,PL-5
69,88A5010000000000,PL-7
70,89A5010000000000,PL-8
71,42B8010000000000,QW-1
72,43B8010000000000,QW-2
73,08C1010000000000,R-37 Vympel
74,41C1010000000000,R-40R Vympel
75,C1C1010000000000,R-60 Molniya
76,04C2010000000000,R-73A Vympel
77,08C2010000000000,R-77 Vympel
78,8EC6010000000000,RPD
79,C5D0010000000000,S-24B
80,84D1010000000000,S-53
81,C9D1010000000000,S-68A
82,D7D2010000000000,SAM
83,DDD2010000000000,SAS
84,E1D2010000000000,SAW
85,1DD3010000000000,SBS  #reco2
86,03D4010000000000,SF2
87,D1D5010000000000,SMG
88,57D7010000000000,SSM
89,C2E0010000000000,Tarasnice
90,86E1010000000000,T-55 #reco1
91,C3E1010000000000,T-62
92,03E2010000000000,T-72
93,41E2010000000000,T-80
94,EEFF010000000000,MP2
95,CC02020000000000,VAB
96,A003020000000000,VDV
97,C425020000000000,FFAR
98,0235020000000000,Yingji-J1
99,0935020000000000,YJ-8
100,DC92020000000000,Anti-Radiation missiles are dedicated anti-air defense missiles
101,B25C080000000000,14
102,C160080000000000,WIP
103,03140C0000000000,F2
104,B21C0C0000000000,20mm
105,B24C0C0000000000,23mm
106,B26C0C0000000000,25mm
107,B28C0C0000000000,27mm
108,89B00C0000000000,2A18
109,C1B00C0000000000,2A20
110,C7B00C0000000000,2A26
111,45B10C0000000000,2A44
112,47B10C0000000000,2A46
113,82B10C0000000000,2A51 Nona
114,C1B10C0000000000,2A60 Nona
115,C3B10C0000000000,2A62
116,C5B10C0000000000,2A64
117,01B20C0000000000,2A70
118,03B20C0000000000,2A72
119,17710D0000000000,Dual Type 2M-3M
120,B21C100000000000,30mm
121,B26C100000000000,35mm
122,B28C100000000000,37mm
123,8652110000000000,3K95 Kinzhal
124,B21C140000000000,40mm
125,B26C140000000000,45mm
126,1536180000000000,BTR-152
127,4E40180000000000,Super 530 D
128,5040180000000000,Super 530 F
129,B26C180000000000,55mm
130,B28C180000000000,57mm
131,B29C180000000000,58mm
132,B21C1C0000000000,60mm
133,B27C1C0000000000,66mm
134,B28C1C0000000000,67mm
135,9C971C0000000000,68TR
136,B29C1C0000000000,68mm
137,B21C200000000000,70mm
138,B23C200000000000,72mm
139,B24C200000000000,73mm
140,B26C200000000000,75mm
141,8675200000000000,L5A1
142,B27C200000000000,76mm
143,B21C240000000000,80mm
144,B22C240000000000,81mm
145,B23C240000000000,82mm
146,B24C240000000000,83mm
147,B25C240000000000,84mm
148,B26C240000000000,85mm
149,B2AC240000000000,89mm
150,0214280000000000,F1
151,0414280000000000,F3
152,0514280000000000,F4
153,B21C280000000000,90mm
154,B24C280000000000,93mm
155,B26C280000000000,95mm
156,8270290000000000,Falanga
157,8570290000000000,Malyutka
158,0471290000000000,9M33
159,0971290000000000,9M38
160,C2B52C0000000000,AAM-1
161,C5352D0000000000,AIM-4D Falcon
