[ID],ControllerName,UnitType,DetectionTBA,PorteeVision,OpticalStrength,OpticalStrengthAltitude,SpecializedOpticalStrengths,SpecializedDetections,PorteeVisionTBA,OpticalStrengthAntiradar,_ShortDatabaseName
30947,ScannerConfigurationController,1,364000,260000,40,10,Collection[1],Collection[2],null,null,null
30966,ScannerConfigurationController,1,364000,260000,60,250,Collection[1],Collection[2],null,null,null
30993,ScannerConfigurationController,1,364000,260000,80,40,Collection[1],Collection[2],null,null,null
31081,ScannerConfigurationController,1,364000,260000,170,40,Collection[1],Collection[2],null,null,null
31111,ScannerConfigurationController,1,364000,260000,60,120,Collection[1],Collection[2],null,null,null
31164,ScannerConfigurationController,1,364000,260000,60,10,Collection[1],Collection[2],null,null,null
31181,ScannerConfigurationController,1,364000,260000,120,40,Collection[1],Collection[2],null,null,null
31190,ScannerConfigurationController,1,364000,260000,60,20,Collection[1],Collection[2],null,null,null
31222,ScannerConfigurationController,1,364000,260000,60,40,Collection[1],Collection[2],null,null,null
31244,ScannerConfigurationController,1,364000,260000,80,20,Collection[1],Collection[2],null,null,null
31401,ScannerConfigurationController,1,364000,260000,80,80,Collection[1],Collection[2],null,null,null
31466,ScannerConfigurationController,1,364000,312000,220,40,Collection[1],Collection[2],null,null,null
31833,ScannerConfigurationController,1,364000,260000,120,20,Collection[1],Collection[2],null,null,null
31972,ScannerConfigurationController,1,364000,260000,120,80,Collection[1],Collection[2],null,null,null
32729,ScannerConfigurationController,1,364000,260000,40,20,Collection[1],Collection[2],null,null,null
33490,ScannerConfigurationController,1,364000,260000,220,40,Collection[1],Collection[2],null,null,null
33595,ScannerConfigurationController,1,364000,260000,40,40,Collection[1],Collection[2],null,null,null
34677,ScannerConfigurationController,1,364000,260000,80,250,Collection[1],Collection[2],null,null,null
36252,ScannerConfigurationController,1,364000,260000,60,80,Collection[1],Collection[2],null,null,null
36735,ScannerConfigurationController,1,364000,260000,80,80,Collection[1],Collection[2],null,null,null
36745,ScannerConfigurationController,1,364000,260000,170,80,Collection[1],Collection[2],null,null,null
37888,ScannerConfigurationController,null,364000,260000,40,40,null,null,null,null,null
38556,ScannerConfigurationController,1,364000,260000,60,120,Collection[1],Collection[2],null,null,null
39109,ScannerConfigurationController,6,364000,260000,60,20,null,Collection[1],null,null,null
39127,ScannerConfigurationController,6,364000,364000,80,40,Collection[1],Collection[2],null,null,null
39138,ScannerConfigurationController,6,364000,364000,220,40,Collection[1],Collection[2],null,null,null
39150,ScannerConfigurationController,6,364000,364000,80,250,Collection[1],Collection[2],null,null,null
39160,ScannerConfigurationController,6,364000,364000,120,40,Collection[1],Collection[2],null,null,null
39172,ScannerConfigurationController,6,364000,364000,120,120,Collection[1],Collection[2],null,null,null
39182,ScannerConfigurationController,6,364000,364000,120,40,Collection[1],Collection[2],null,null,null
39202,ScannerConfigurationController,6,364000,364000,120,250,Collection[1],Collection[2],null,null,null
39212,ScannerConfigurationController,6,364000,260000,60,20,null,Collection[2],null,null,null
39229,ScannerConfigurationController,6,364000,364000,120,160,Collection[1],Collection[2],null,null,null
39247,ScannerConfigurationController,6,364000,364000,120,80,Collection[1],Collection[2],null,null,null
39267,ScannerConfigurationController,6,364000,364000,120,160,Collection[1],Collection[2],null,null,null
39287,ScannerConfigurationController,6,364000,364000,170,40,Collection[1],Collection[2],null,null,null
39294,ScannerConfigurationController,6,364000,364000,120,160,Collection[1],Collection[2],null,null,null
