[ID],DescriptorId,Modules,_ShortDatabaseName,ClassNameForDebug,StickToGround,HitRollSizeModifier,NameInMenuToken,Category,TypeForAcknow,MotherCountry,MaxPacks,Factory,ProductionPrice,MaxDeployableAmount,ShowInMenu,TextureForInterface,TextureMotherCountryForInterface,UnitTypeTokens,Nationalite,Key,WorldIndex,UnitMovingType
18559,00000000-0000-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_ANZ,Building_FOB_ANZ,True,10,4C06010000000000,8,3,ANZ,2,3,Collection[5],Collection[5],Collection[5],78 : 30848 (True) - TUIResourceTexture,Components,Collection[6],null,null,null,null
18560,00000000-0000-0000-0100-0000e9030000,Collection[23],Descriptor_Building_FOB_CAN,Building_FOB_CAN,True,10,4C06010000000000,8,3,CAN,2,3,Collection[5],Collection[5],Collection[5],78 : 30852 (True) - TUIResourceTexture,TextureSourceCaracChooser,Collection[6],null,null,null,null
18561,00000000-0000-0000-0100-0000ea030000,Collection[23],Descriptor_Building_FOB_CHINE,Building_FOB_CHINE,True,10,4C06010000000000,8,3,CHI,2,3,Collection[5],Collection[5],Collection[5],78 : 30856 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_SWE,Collection[6],1,null,null,null
18562,00000000-0000-0000-0100-0000eb030000,Collection[23],Descriptor_Building_FOB_CZ,Building_FOB_CZ,True,10,4C06010000000000,8,3,TCH,2,3,Collection[5],Collection[5],Collection[5],78 : 30860 (True) - TUIResourceTexture,Typeface3D_TitleMono_CompensatePostProcess,Collection[6],1,null,null,null
18563,00000000-0000-0000-0100-0000ec030000,Collection[23],Descriptor_Building_FOB_DK,Building_FOB_DK,True,10,4C06010000000000,8,3,DAN,2,3,Collection[5],Collection[5],Collection[5],78 : 30864 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_US,Collection[6],null,null,null,null
18564,00000000-0007-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_FIN,Building_FOB_FIN,True,10,4C06010000000000,8,3,FIN,2,3,Collection[5],Collection[5],Collection[5],78 : 30868 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_HOL,Collection[6],1,null,null,null
18565,00000000-0000-0000-0100-0000ed030000,Collection[23],Descriptor_Building_FOB_FR,Building_FOB_FR,True,10,4C06010000000000,8,3,FR,2,3,Collection[5],Collection[5],Collection[5],78 : 30872 (True) - TUIResourceTexture,Divers,Collection[6],null,null,null,null
18566,00000000-0004-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_HOL,Building_FOB_HOL,True,10,4C06010000000000,8,3,HOL,2,3,Collection[5],Collection[5],Collection[5],78 : 30876 (True) - TUIResourceTexture,UI,Collection[6],null,null,null,null
18567,00000000-0005-0000-0100-0000e8030000,Collection[23],Descriptor_Building_FOB_ISR,Building_FOB_ISR,True,10,4C06010000000000,8,3,ISR,2,3,Collection[5],Collection[5],Collection[5],78 : 30880 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_FR,Collection[6],null,null,null,null
18568,00000000-0000-0000-0100-0000ee030000,Collection[23],Descriptor_Building_FOB_JAP,Building_FOB_JAP,True,10,4C06010000000000,8,3,JAP,2,3,Collection[5],Collection[5],Collection[5],78 : 30884 (True) - TUIResourceTexture,CommonTexture_MotherCountryFlag_RDA,Collection[6],null,null,null,null
