[ID],_ShortDatabaseName,ControllerName,TurretDescriptorList,Salves,SalvoIsMainSalvo,HasMainSalvo
30942,WeaponDescriptor_Unit_152mm_SpGH_Dana,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
30962,WeaponDescriptor_Unit_2K12_Kub,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
30976,WeaponDescriptor_Unit_2K22M_Tunguska_M,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
30984,WeaponDescriptor_Unit_2K22_Tunguska,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
30990,WeaponDescriptor_Unit_2S15_Norov,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31001,WeaponDescriptor_Unit_2S19_MstaS,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31008,WeaponDescriptor_Unit_2S1_Gozdzik,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31014,WeaponDescriptor_Unit_2S1_Gvozdika,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31019,WeaponDescriptor_Unit_2S23_Nona_SVK,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31027,WeaponDescriptor_Unit_2S3M_Akatsiya,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31033,WeaponDescriptor_Unit_2S3_Akatsiya,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31038,WeaponDescriptor_Unit_2S7M_Malka,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31045,WeaponDescriptor_Unit_2S7_Pion,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31050,WeaponDescriptor_Unit_2S7_Piwonia,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31055,WeaponDescriptor_Unit_2S9_Nona,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31064,WeaponDescriptor_Unit_2eme_REP,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31078,WeaponDescriptor_Unit_2eme_REP_FAMAS,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31088,WeaponDescriptor_Unit_75_Highlanders,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31096,WeaponDescriptor_Unit_90_Motorstrelki,WeaponManagerController,Collection[2],Collection[29],Collection[4],null
31103,WeaponDescriptor_Unit_9K33M3_Romb,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31110,WeaponDescriptor_Unit_9K33_OSA,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31116,WeaponDescriptor_Unit_9K33_OSA_AK,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
31121,WeaponDescriptor_Unit_9K33_OSA_AKM,WeaponManagerController,Collection[1],Collection[29],Collection[4],null
