[ID],PaliersSuppressDamages,PaliersPhysicalDamages,SuppressDamagesRegenRatio,SuppressDamagesRegenRatioOutOfRange,StunDamagesRegen,StunDamagesToGetStunned,SuppressDamagesEffects,BlindageProperties,PhysicalDamagesEffects,MaxSuppressionDamages,TestMoralRollRule
42727,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53401 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42761,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53430 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42783,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53487 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42811,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53557 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42830,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53593 (False) - TBlindageProperties,Collection[3],800,171 : 53594 (True) - TModernWarfareTestMoralRollRule
42859,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53633 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42907,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53745 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42946,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53829 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42966,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53876 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42972,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53891 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42983,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53916 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
42988,Collection[4],Collection[3],Collection[5],20,5,300,Collection[4],169 : 53926 (False) - TBlindageProperties,Collection[3],800,171 : 53405 (True) - TModernWarfareTestMoralRollRule
