[ID],ControllerName,Selection,Default,_ShortDatabaseName,InitStage
18580,TypeUnitController,Collection[2],96 : 30931 (False) - TTypeUnitModuleDescriptor,null,null
18582,CriticalEffectController,Collection[1],97 : 30933 (True) - TCriticalEffectModuleDescriptor,null,null
18583,TargetCoordinatorController,Collection[1],98 : 30934 (False) - TTargetCoordinatorModuleDescriptor,null,null
18584,PositionController,Collection[1],93 : 30936 (False) - TPositionModuleDescriptor,null,null
18585,InflammableController,Collection[1],99 : 30937 (False) - TInflammableModuleDescriptor,null,null
18587,ExperienceController,Collection[1],100 : 30938 (False) - TModernWarfareExperienceModuleDescriptor,null,null
18588,CompanyUnitController,Collection[1],101 : 30939 (False) - TCompanyUnitModuleDescriptor,null,null
18589,VisibilityController,Collection[1],102 : 30940 (False) - TVisibilityModuleDescriptor,null,null
18591,WeaponManagerController,Collection[1],103 : 30942 (True) - TWeaponManagerModuleDescriptor,null,null
18592,DamageController,Collection[1],104 : 30943 (False) - TModernWarfareDamageModuleDescriptor,null,null
18593,HaloController,Collection[1],105 : 30944 (False) - THaloModuleDescriptor,HaloModuleDescriptor,null
18594,MouvementHandlerController,Collection[1],106 : 30945 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
18595,FuelController,Collection[1],107 : 30946 (False) - TFuelModuleDescriptor,null,null
18596,ScannerConfigurationController,Collection[1],108 : 30947 (False) - TScannerConfigurationDescriptor,null,null
18597,ScannerController,Collection[1],109 : 30948 (False) - TModernWarfareScannerModuleDescriptor,null,null
18599,GhostManagerController,Collection[1],null,null,null
18600,CadavreController,Collection[1],null,null,null
18601,IAStratController,Collection[1],110 : 30952 (False) - TIAStratModuleDescriptor,null,2
18602,StateEngineController,Collection[1],111 : 30953 (False) - TStateEngineModuleDescriptor,null,null
18604,SelectionController,Collection[1],112 : 30954 (False) - TSelectionModuleDescriptor,null,null
18608,TypeUnitController,Collection[2],96 : 30958 (False) - TTypeUnitModuleDescriptor,null,null
18610,CriticalEffectController,Collection[1],97 : 30959 (True) - TCriticalEffectModuleDescriptor,null,null
18611,CompanyUnitController,Collection[1],101 : 30960 (False) - TCompanyUnitModuleDescriptor,null,null
18613,WeaponManagerController,Collection[1],103 : 30962 (True) - TWeaponManagerModuleDescriptor,null,null
18614,DamageController,Collection[1],104 : 30963 (False) - TModernWarfareDamageModuleDescriptor,null,null
18615,MouvementHandlerController,Collection[1],106 : 30964 (False) - TMouvementHandlerLandVehicleDescriptor,null,null
