[ID],ControllerName,Maxspeed,TempsDemiTour,MaxAcceleration,AutoGyr,FxPropulsionOnToken,FxPropulsionOffToken,FxStartPropulsionToken,AutoGyrWhenUncontrollable,TimeMaxBetweenRandomMoveWhenUncontrollable,TimeMinBetweenRandomMoveWhenUncontrollable,RangeChaos,AngleMaxForRandomMouvUncontrollable,RotationSpeedWhenUncontrollable,ChaosSpeed
93336,MouvementHandlerController,780000,0.1,65000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
93358,MouvementHandlerController,468000,0.1,104000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
93360,MouvementHandlerController,468000,0.1,104000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
93629,MouvementHandlerController,390000,0.1,78000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
93633,MouvementHandlerController,468000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
93682,MouvementHandlerController,46800,0.1,39000,17,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,10,15,15
93684,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
93694,MouvementHandlerController,20800,0.1,26000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
93697,MouvementHandlerController,468000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
93703,MouvementHandlerController,46800,0.1,39000,17,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
93768,MouvementHandlerController,364000,0.1,78000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
93776,MouvementHandlerController,364000,0.1,78000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,1000,3.1,10,10
93869,MouvementHandlerController,156000,0.1,20800,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
93876,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
93892,MouvementHandlerController,36400,0.1,26000,21,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
93896,MouvementHandlerController,72800,0.1,52000,11,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
93904,MouvementHandlerController,52000,0.1,26000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
93928,MouvementHandlerController,390000,0.1,78000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
93945,MouvementHandlerController,36400,0.1,26000,21,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
93950,MouvementHandlerController,31200,0.1,26000,25,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
93992,MouvementHandlerController,78000,0.1,20800,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
94055,MouvementHandlerController,62400,0.1,52000,13,fx_propulsion_on,fx_propulsion_off,fx_fire,25,1,0.5,800,3.1,15,15
94105,MouvementHandlerController,260000,0.1,52000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,1000,3.1,10,10
94113,MouvementHandlerController,260000,0.1,52000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
94189,MouvementHandlerController,62400,0.1,52000,13,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,10,10
94235,MouvementHandlerController,650000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
94277,MouvementHandlerController,468000,0.1,104000,45,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
94339,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
94658,MouvementHandlerController,52000,0.1,52000,15,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,10,10
94973,MouvementHandlerController,72800,0.1,52000,28,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
94975,MouvementHandlerController,650000,0.1,104000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
94990,MouvementHandlerController,39000,0.1,26000,20,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
95044,MouvementHandlerController,62400,0.1,52000,13,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
95047,MouvementHandlerController,72800,0.1,36400,11,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
95426,MouvementHandlerController,780000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
95687,MouvementHandlerController,104000,0.1,20800,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
95974,MouvementHandlerController,650000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
95999,MouvementHandlerController,650000,0.1,78000,40,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
96280,MouvementHandlerController,72800,0.1,78000,11,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96286,MouvementHandlerController,520000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
96288,MouvementHandlerController,78000,0.1,15600,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96291,MouvementHandlerController,780000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
96299,MouvementHandlerController,780000,0.1,78000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
96301,MouvementHandlerController,650000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
96304,MouvementHandlerController,156000,0.1,26000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96307,MouvementHandlerController,780000,0.1,104000,80,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,1000,3.1,10,10
96318,MouvementHandlerController,390000,0.1,104000,60,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,600,3.1,10,10
96323,MouvementHandlerController,780000,0.1,104000,80,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
96348,MouvementHandlerController,780000,0.1,104000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96361,MouvementHandlerController,72800,0.1,36400,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96441,MouvementHandlerController,39000,0.1,19500,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,0.5,0.25,1000,6,30,20
96500,MouvementHandlerController,130000,0.1,65000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96510,MouvementHandlerController,156000,0.1,78000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96536,MouvementHandlerController,39000,0.1,19500,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
96551,MouvementHandlerController,78000,0.1,39000,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,600,3.1,15,15
96580,MouvementHandlerController,39000,0.1,19500,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,1000,3.1,15,15
96588,MouvementHandlerController,62400,0.1,31200,30,fx_propulsion_on,fx_propulsion_off,fx_fire,30,1,0.5,800,3.1,15,15
96619,MouvementHandlerController,650000,0.1,104000,50,fx_propulsion_on,fx_propulsion_off,fx_fire,10,1,0.5,800,3.1,10,10
