DC02000000000000, Anti-Radar
4203000000000000, C1A1 SLR
4303000000000000, C2A1 
9A03000000000000, Type 64 LMG
4405000000000000, K3 LMG
4505000000000000, K4
C705000000000000, M6
0B06000000000000, NA
4607000000000000, S-5M
4907000000000000, S-8OFP
A007000000000000, TV guidance
D560000000000000, SPW-152K
C4A5000000000000, 9M3
B2AC000000000000, 9mm PB
D7B2000000000000, AAM
44B4000000000000, AG-3
57B4000000000000, AGM
8DB6000000000000, Armored Personnel Carrier
57B7000000000000, Anti-Ship Missile
85B7000000000000, AT4
05BC000000000000, AK4
06BC000000000000, AK5
DCC2000000000000, Kg m/37
C3E0000000000000, D-22
45E1000000000000, D44
46E1000000000000, D-45
4AE1000000000000, D-49
01E2000000000000, D-70
57F3000000000000, Electronic Warfare
8700010000000000, F-16A FIGHTING FALCON
5A05010000000000, FKP
4C06010000000000, FOB
5507010000000000, FSK
CB12010000000000, Ground Attack Aircraft
0925010000000000, HJ-8
0A25010000000000, HJ-9
D125010000000000, HMG
C826010000000000, HQ-7
2034010000000000, Infantry Fighting Vehicle
EB3C010000000000, Rifle Squad
0B53010000000000, KBA 25
4C53010000000000, KCB
8F53010000000000, KDE 35
8360010000000000, L-12
8760010000000000, L16A2
8960010000000000, L-18
8A60010000000000, L-19
C960010000000000, L28 
0161010000000000, L30
C361010000000000, L/62
4762010000000000, L86 LMG
E162010000000000, LAW
D165010000000000, LMG
8367010000000000, LT-2
C770010000000000, M26
CA70010000000000, M29
0371010000000000, M32
0871010000000000, M37
4171010000000000, M40
4271010000000000, M41A1 #reco1
C271010000000000, M61A1 Vulcan
0172010000000000, M70
0672010000000000, M75
4572010000000000, M-84
E172010000000000, MAW
1E73010000000000, Main Battle Tank
C374010000000000, Mi-2 #reco2
C574010000000000, Mi-4
CA74010000000000, Mi-8R #reco3
D175010000000000, MMG
877B010000000000, Mi-6
0881010000000000, N-37 
269E010000000000, MOSKIT
57A5010000000000, PKM
83A5010000000000, PL-2
86A5010000000000, PL-5
88A5010000000000, PL-7
89A5010000000000, PL-8
42B8010000000000, QW-1
43B8010000000000, QW-2
08C1010000000000, R-37 Vympel
41C1010000000000, R-40R Vympel
C1C1010000000000,  R-60 Molniya
04C2010000000000, R-73A Vympel
08C2010000000000, R-77 Vympel
8EC6010000000000, RPD
B4CB010000000000, RIO
C5D0010000000000, S-24B
84D1010000000000, S-53
C9D1010000000000, S-68A
D7D2010000000000, SAM
DDD2010000000000, SAS
E1D2010000000000, SAW
1DD3010000000000, SBS  #reco2
03D4010000000000, SF2
D1D5010000000000, SMG
57D7010000000000, SSM
C2E0010000000000, T21 Tarasnice
86E1010000000000, T-55 #reco1
C3E1010000000000, T-62
03E2010000000000, T-72
41E2010000000000, T-80
EEFF010000000000, MP2A1
CC02020000000000, VAB
A003020000000000, VDV
C425020000000000, FFAR
0235020000000000, C-802
0835020000000000, YJ-7
0935020000000000, YJ-8K
DC92020000000000, Anti-Radiation missiles are dedicated anti-air defense missiles, automatically targeting radar guided vehicles. Very accurate against units mouting a radar guidance, they are ineffective against any other vehicles.
B25C080000000000, 14,5mm
C160080000000000, WIP
03140C0000000000, F2
B21C0C0000000000, 20mm
B24C0C0000000000, 23mm
B26C0C0000000000, 25mm
B28C0C0000000000, 27mm
89B00C0000000000, 2A18
C1B00C0000000000, 2A20
C7B00C0000000000, 2A26
45B10C0000000000, 2A44
47B10C0000000000, 2A46
82B10C0000000000, 2A51 Nona
C1B10C0000000000, 2A60 Nona
C3B10C0000000000, 2A62
C5B10C0000000000, 2A64
01B20C0000000000, 2A70
03B20C0000000000, 2A72
17710D0000000000, Dual Type 2M-3M
D7C00D0000000000, 2R2M
B21C100000000000, 30mm
B26C100000000000, 35mm
B28C100000000000, 37mm
8652110000000000, 3K95 Kinzhal
B21C140000000000, 40mm
B26C140000000000, 45mm
B21C180000000000, 50mm
1536180000000000, BTR-152
4E40180000000000, Super 530 D
5040180000000000, Super 530 F
B26C180000000000, 55mm
B28C180000000000, 57mm
B29C180000000000, 58mm
B21C1C0000000000, 60mm
B27C1C0000000000, 66mm
B28C1C0000000000, 67mm
9C971C0000000000, 68TR
B29C1C0000000000, 68mm
B21C200000000000, 70mm
B23C200000000000, 72mm
B24C200000000000, 73mm
B26C200000000000, 75mm
8675200000000000, L5A1
B27C200000000000, 76mm
B21C240000000000, 80mm
B22C240000000000, 81mm
B23C240000000000, 82mm
B24C240000000000, 83mm
B25C240000000000, 84mm
B26C240000000000, 85mm
B2AC240000000000, 89mm
0214280000000000, F1
0414280000000000, F3
0514280000000000, F4
B21C280000000000, 90mm
B24C280000000000, 93mm
B26C280000000000, 95mm
8270290000000000, Falanga
8570290000000000, Malyutka
0471290000000000, 9M33
0971290000000000, 9M38
C2B52C0000000000, AAM-1
C5352D0000000000, AIM-4D Falcon
48512D0000000000, AKM
0A712D0000000000, AM-39 Exocet
5D762D0000000000, AMOS
82D02D0000000000, AS-11
05D12D0000000000, AS.34 Kormoran
57E42D0000000000, ATGM
578B2F0000000000, Anti-Ship Missile Launcher
1621300000000000, S-13
4140300000000000, B300
8152310000000000, BK 90/L40 
8570310000000000, M-14-OF
C870310000000000, 9M27F
8273310000000000, BMD-1
8473310000000000, BMD-3
8276310000000000, BMP-1
8376310000000000, BMP-2
8476310000000000, BMP-3
9E76310000000000, BMPT
0498310000000000, SPAT BOV 3
C2C5310000000000, BRM-1K #reco3
0EE7310000000000, BTR-D
8206320000000000, BVP-1
8306320000000000, BVP-2
8216320000000000, BWP-1
8316320000000000, BWP-2
A74C330000000000, HE Bomb 
4390340000000000, YJ-82
8900350000000000, CF-18 HORNET
4721350000000000, HKP 4C
8421350000000000, CH-53E SUPER STALLION
5D38350000000000, CIWS
08C8350000000000, M151 CRV7 
5E20380000000000, D-10T
DE61380000000000, D-56T
C6A0380000000000, D/925
9CF6380000000000, DEPRECATED
9D973D0000000000, EOTS I-Hawk
E2C83D0000000000, Eryx
4D22400000000000, F-18C
99B5400000000000, FALO
8360410000000000, FL12
8660410000000000, FL15
C342440000000000, H&K G3A2
C542440000000000, H&K G3KA4
C9C7440000000000, GBU-8/B HOBOS
57C6450000000000, PPZR GROM
C4D0450000000000, Gsh-23L
896E460000000000, GAU-8/A Avenger
5DF6480000000000, HEOS I-HAWK
8120490000000000, HH-10
0442490000000000, HJ-73
4B42490000000000, HJ-8A
4C42490000000000, HJ-8B
8B81490000000000, HN-5A
8C81490000000000, HN-5B
8D81490000000000, HN-5C
C2B1490000000000, HQ-61A
41E1490000000000, HT-40
DC024A0000000000, HVAR
DD054A0000000000, HVMS #reco1
306F4A0000000000, MIM-23A Hawk
66CC4E0000000000, Igla
9041500000000000, J 35F
9D41500000000000, J 35S
1721540000000000, R-13M
8161560000000000, Ka-50 AKULA
C4D0560000000000, Kh-23
C6D0560000000000, Kh-25ML
C9D0560000000000, Kh-28
06D1560000000000, Kh-35
89D1560000000000, Kh-58
C7D1560000000000, Kh-66
C301570000000000, Kk 62
AC79570000000000, Krag-Jørgensen
9721580000000000, L-15M
1522580000000000, L-17K
4C80580000000000, L70B
1DB7580000000000, LARS
17B8580000000000, LAV-M
C9D5580000000000, LCM 8
CDC2590000000000, LRAC F1
9CD7590000000000, LStR-40
EE6E5A0000000000, LAVI
49205C0000000000, M10-8
4A205C0000000000, M109 R.C.H.A.
88205C0000000000, M117
89205C0000000000, M1118
C2205C0000000000, M30
03215C0000000000, M132 ZIPPO
06215C0000000000, M135
01315C0000000000, M230
4A315C0000000000, M249 SAW
C2325C0000000000, M2A1
0E525C0000000000, Akan m/47D
08625C0000000000, #command M577 CPC
C2705C0000000000, M621
CB905C0000000000, M-82A
4B915C0000000000, M-84A
1DB75C0000000000, MARS
88305D0000000000, Mi-8MTV
C6305D0000000000, Mi-25
C7305D0000000000, Mi-26
DE305D0000000000, Mi-2T
06315D0000000000, Mi-35
4B315D0000000000, Mi-4A
5A325D0000000000, MI-8P
5E325D0000000000, Mi-8 ZAOP.
1D675D0000000000, Multiple Rocket Launcher Vehicle
41715D0000000000, MM-40 Exocet
0B935D0000000000, MOBA
45A15D0000000000, AP M-44
8CE55D0000000000, MT-LBV
8A005F0000000000, Mk19
E6AC5F0000000000, MUNA
D292610000000000, NOAH
C4C0610000000000, NR-23
01C1610000000000, NR-30
C4D0610000000000, NS-23
1DF7610000000000, NURS
C6E1650000000000, OT-65 #reco1
4A02690000000000, PF-89
8260690000000000, PL-11
C471690000000000, PM-63
52A7690000000000, Type 49
42D4690000000000, H&K PSG1
02E2690000000000, PT-71 #reco2
46E2690000000000, PT-85 #reco2
81E2690000000000, PT-90
41126A0000000000, PW-80
04F46B0000000000, PzF 3
1C31700000000000, R-23R Vympel
5C31700000000000, R-24R Vympel
1C32700000000000, R-27R Vympel 
1E32700000000000, R-27T Vympel 
0F41700000000000, R-33E Vympel
5E50700000000000, R-40T Vympel
0161700000000000, R.530
5770700000000000,  R-60M Molniya
46C0700000000000, Rb 05A
C5C0700000000000, Rb 24J
C8C0700000000000, Rb 27 Falcon
C9C0700000000000, Rb 28 Falcon
02C2700000000000, Rb 71
05C2700000000000, Rb 74
06C2700000000000, Rb 75
E635710000000000, RIMa
43A4710000000000, RPG-2
48A4710000000000, RPG-7
C1E0710000000000, RT-20
8701730000000000, Rk 56
C301730000000000, Rk 62
92B5740000000000, SALH
05B6740000000000, 9K33M OSA-M
06B6740000000000, Strela-2M
CEF2740000000000, SEAD
E172750000000000, SMAW
4AA4750000000000, SPG-9
D7C0750000000000, #command TOPAS R-2M
82D0750000000000, SS-11
0CA2770000000000, Su-7B
4C41780000000000, T-34B
8B61780000000000, T-55A
9661780000000000, T-55L
0362780000000000, T57-2
4B71780000000000, T-64A
4C71780000000000, T-64B
CB80780000000000, T-72A
CC80780000000000, T-72B
D780780000000000, T-72M
4B90780000000000, T-80A
4C90780000000000, T-80B
5F90780000000000, T-80U
8490780000000000, V-LKV T813
83B5780000000000, TAL-2
8691790000000000, TO-55
C391790000000000, TO-62
81327A0000000000, TY-90
9D677C0000000000, U-5TS
8B207D0000000000, #command UH-1A ACP
4170800000000000, V-600P
0151810000000000, VK-30
0671890000000000, XM-35
4437910000000000, ZIS-3
C4F0910000000000, ZU-23-2
D7B2A40000000000, Air-to-Air Missiles are used by planes during air combat against other planes. Some can be used against helicopters, but they can't be used against ground targets.
57B4A40000000000, Air-to-Ground Missiles are anti-tank missile fired by planes against armored target. They can only be used against ground targets.
D125A50000000000, Heavy Machine-Guns are firing more powerful ammunitions than MMG. The Soviet 14,5mm KPV is the only weapon classified as such. They are dealing both physical and suppression damages on unarmored targets, but also got some anti-armor power at close range.
E162A50000000000, Light anti-tank weapons are modern bazookas, the infantry's most common means of dealing with armored vehicles at close range. Usually less powerful than heavier vehicle-mounted anti-tank systems, they inflict more stress on the target's crew.
D165A50000000000, Light-Machine Guns are carried by infantry squads and provide them not only with extra firepower, but also allowing them to engage targets further away than their infantry weapons. However, they are too clumsy to be use in house fighting. They deal both physical and suppression damages on unarmored targets.
D175A50000000000, Medium-Machine Guns are mounted on vehicles and provide them not only with extra firepower, but also a mean of close defense against helicopters and infantry. They deal both physical and suppression damages on unarmored targets.
D7D2A50000000000, Surface-to-Air Missiles are medium to long range weapons dedicated to engage aerial targets. They are ineffective against ground ones.
E1D2A50000000000, Squad Automatic Weapons are lighter LMGs carried by dedicated assault squads and providing them not only with extra firepower, but also allowing them to engage targets further away than their infantry weapons. Contrary to LMG, they can still be used in house fighting. They deal both physical and suppression damages on unarmored targets. 
D1D5A50000000000, Ranging from obsolete WW2 leftovers to the most modern special forces weapons, they trade range for firepower and suppression damage. They are particularly efficient at close quarters.
57D7A50000000000, Anti-ship missile designed to engage capital ships and one of the few weapons able to deal significant damage to them, although they can be intercepted by CIWS.
AC7EA70000000000, Drug
AC79AF0000000000, Frag
6AEAEE0000000000, vide
84F1EF0000000000, PLDvK vz. 53/59
8AF1EF0000000000, BZK vz.59A
B21C040200000000, 100mm
B24C040200000000, 103mm
B26C040200000000, 105mm
B27C040200000000, 106mm
B28C040200000000, 107mm
B21C080200000000, 110mm
B25C080200000000, 114mm
B26C080200000000, 115mm
B21C0C0200000000, 120mm
B23C0C0200000000, 122mm
B26C0C0200000000, 125mm
B28C0C0200000000, 127mm
B29C0C0200000000, 128mm
B21C100200000000, 130mm
B26C100200000000, 135mm
B21C140200000000, 140mm
B23C180200000000, 152mm
4A65180200000000, CN98
B26C180200000000, 155mm
B21C1C0200000000, 160mm
B26C1C0200000000, 165mm
B21C200200000000, 170mm
B26C200200000000, 175mm
2C4C240200000000, 183kg
0442490200000000, BRDM-1 HJ-73
B24C040300000000, 203mm
775A070300000000, QF 20-pdr
B21C0C0300000000, 220mm
2C8C0C0300000000, 227kg
B28C0C0300000000, 227mm
B21C140300000000, 240mm
2C6C140300000000, 245kg
2C1C180300000000, 250kg
B23C1C0300000000, 262mm
B21C240300000000, 280mm
B21C280300000000, 290mm
57422C0300000000, Twin 2A38M
D7512C0300000000, 2A46M
42522C0300000000, 2A48-1
C4D0450300000000, Twin Gsh-23
C4C0610300000000, Twin NR-23
B21C040400000000, 300mm
2C1C140400000000, 340kg
C4E1210400000000, T63
C4C0610400000000, Triple NR-23
01C1610400000000, Triple NR-30
2C1C040500000000, 400kg
2C1C180500000000, 450kg
2C1C040600000000, 500kg
B21C200600000000, 570mm
CAE1210600000000, T69
9DC4680600000000, Bo 105P/BSH
B21C080700000000, 610mm
B26C940700000000, 6,5mm
9E331C0800000000, DT 7,62
B26C940800000000, 7,5mm
B28C940800000000, 7,7mm
0771050A00000000, M36
4271050A00000000, M41
2C6C0C0A00000000, 925kg
8620540A00000000, Metys
C220540A00000000, 9K121 Vikhr
0141540A00000000, 9K330
82205C0A00000000, Fagot-M
83205C0A00000000, Kobra
84205C0A00000000, Konkurs
85205C0A00000000, Kokon
88205C0A00000000, Bastion
89205C0A00000000, Sheksna
8A205C0A00000000, Svir
C1205C0A00000000, Ataka V
C9205C0A00000000, Agona
57215C0A00000000, Malyutka-M
5A215C0A00000000, Malyutka-P
