[ID],ControllerName,CommonDamageDescriptor,MaxDamages,MaxHPForHUD,Experience,AutoOrientation,Transporter,IsTargetableAsBoat
30943,DamageController,138 : 42727 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
30963,DamageController,138 : 42761 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31002,DamageController,138 : 42783 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31039,DamageController,138 : 42811 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31065,DamageController,138 : 42830 (False) - TModernWarfareCommonDamageDescriptor,5,5,Experience,True,null,null
31089,DamageController,138 : 42830 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31104,DamageController,138 : 42859 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31178,DamageController,138 : 42907 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31199,DamageController,138 : 42907 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31241,DamageController,138 : 42946 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31267,DamageController,138 : 42966 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31274,DamageController,138 : 42972 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31286,DamageController,138 : 42983 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31293,DamageController,138 : 42988 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31304,DamageController,138 : 42998 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31312,DamageController,138 : 43004 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31319,DamageController,138 : 43010 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31370,DamageController,138 : 42830 (False) - TModernWarfareCommonDamageDescriptor,2,2,Experience,True,null,null
31451,DamageController,138 : 43124 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31459,DamageController,138 : 43124 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31527,DamageController,138 : 42761 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31538,DamageController,138 : 43200 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31546,DamageController,138 : 43200 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31559,DamageController,138 : 42859 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31585,DamageController,138 : 43229 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31592,DamageController,138 : 42859 (False) - TModernWarfareCommonDamageDescriptor,5,5,Experience,True,null,null
31606,DamageController,138 : 43241 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31679,DamageController,138 : 43229 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31735,DamageController,138 : 43334 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31741,DamageController,138 : 43339 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31753,DamageController,138 : 42946 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31769,DamageController,138 : 42783 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
31776,DamageController,138 : 43365 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31821,DamageController,138 : 43414 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31846,DamageController,138 : 43339 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
31978,DamageController,138 : 43414 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32005,DamageController,138 : 42727 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32046,DamageController,138 : 43579 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32130,DamageController,138 : 43642 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32193,DamageController,138 : 43694 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32251,DamageController,138 : 43747 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32257,DamageController,138 : 42830 (False) - TModernWarfareCommonDamageDescriptor,15,15,Experience,True,null,null
32293,DamageController,138 : 43642 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32305,DamageController,138 : 43796 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32351,DamageController,138 : 43829 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32364,DamageController,138 : 43839 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32378,DamageController,138 : 43747 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32420,DamageController,138 : 43896 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32491,DamageController,138 : 43966 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32499,DamageController,138 : 43972 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32507,DamageController,138 : 43977 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32526,DamageController,138 : 43990 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32532,DamageController,138 : 43996 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32539,DamageController,138 : 44002 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32552,DamageController,138 : 44013 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32559,DamageController,138 : 44019 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32567,DamageController,138 : 44024 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32574,DamageController,138 : 44030 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32586,DamageController,138 : 44041 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32594,DamageController,138 : 44047 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32627,DamageController,138 : 44073 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
32694,DamageController,138 : 44143 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32703,DamageController,138 : 44149 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32709,DamageController,138 : 44154 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32720,DamageController,138 : 44165 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32726,DamageController,138 : 44170 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32755,DamageController,138 : 44195 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32772,DamageController,138 : 44211 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32780,DamageController,138 : 44217 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32787,DamageController,138 : 44223 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32794,DamageController,138 : 44229 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32800,DamageController,138 : 44235 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32806,DamageController,138 : 44242 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
32829,DamageController,138 : 42859 (False) - TModernWarfareCommonDamageDescriptor,5,5,Experience,True,Transporter,null
32882,DamageController,138 : 44313 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33201,DamageController,138 : 44576 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33384,DamageController,138 : 44313 (False) - TModernWarfareCommonDamageDescriptor,5,5,Experience,True,null,null
33748,DamageController,138 : 45091 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33755,DamageController,138 : 45098 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33794,DamageController,138 : 45131 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33899,DamageController,138 : 45214 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33911,DamageController,138 : 45224 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
33954,DamageController,138 : 45264 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34022,DamageController,138 : 45337 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34038,DamageController,138 : 45353 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34044,DamageController,138 : 45359 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34252,DamageController,138 : 45543 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34279,DamageController,138 : 45572 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34285,DamageController,138 : 45578 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34301,DamageController,138 : 45594 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34307,DamageController,138 : 45600 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34313,DamageController,138 : 45606 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34319,DamageController,138 : 45612 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34355,DamageController,138 : 45648 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34371,DamageController,138 : 45664 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34377,DamageController,138 : 45670 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34812,DamageController,138 : 46051 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34830,DamageController,138 : 46070 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34836,DamageController,138 : 46077 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34842,DamageController,138 : 46084 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
34902,DamageController,138 : 46132 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
34962,DamageController,138 : 46132 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35010,DamageController,138 : 43694 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35033,DamageController,138 : 46236 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35039,DamageController,138 : 46242 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35080,DamageController,138 : 46277 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35125,DamageController,138 : 46314 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35141,DamageController,138 : 46330 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35158,DamageController,138 : 46346 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35177,DamageController,138 : 43414 (False) - TModernWarfareCommonDamageDescriptor,5,5,Experience,True,Transporter,null
35248,DamageController,138 : 46411 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35266,DamageController,138 : 46426 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35272,DamageController,138 : 46432 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35322,DamageController,138 : 46476 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35329,DamageController,138 : 46482 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35370,DamageController,138 : 46516 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35388,DamageController,138 : 46533 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35505,DamageController,138 : 46630 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35550,DamageController,138 : 46667 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35556,DamageController,138 : 46672 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
35563,DamageController,138 : 46677 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35584,DamageController,138 : 46700 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35591,DamageController,138 : 46707 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
35598,DamageController,138 : 46707 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35604,DamageController,138 : 46720 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35611,DamageController,138 : 46726 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
35631,DamageController,138 : 42859 (False) - TModernWarfareCommonDamageDescriptor,3,3,Experience,True,null,null
35804,DamageController,138 : 46923 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,Transporter,null
35900,DamageController,138 : 47007 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
36058,DamageController,138 : 47148 (False) - TModernWarfareCommonDamageDescriptor,10,10,Experience,True,null,null
