[ID],DescriptorId,Modules,_ShortDatabaseName,ClassNameForDebug,StickToGround,ManageUnitOrientation,HitRollSizeModifier,DeathExplosionAmmo,IconeType,PositionInMenu,NameInMenuToken,AliasName,Category,AcknowUnitType,TypeForAcknow,Nationalite,MotherCountry,ProductionYear,MaxPacks,Factory,ProductionPrice,MaxDeployableAmount,ShowInMenu,ProductionTime,CoutEtoile,TextureForInterface,TextureTransportForInterface,TextureMotherCountryForInterface,UnitTypeTokens,UnitMovingType,VitesseCombat,UpgradeRequire,IsPrototype,HitRollECMModifier,Key
16554,00000000-0000-0000-0000-0000e8030000,Collection[25],Descriptor_Unit_152mm_SpGH_Dana,Unit_152mm_SpGH_Dana,True,True,0.05,89 : 18605 (True) - TAmmunition,2,4,8E14D59D2C0F8600,DANA,3,32,119,1,TCH,1977,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18606 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Typeface3D_TitleMono_CompensatePostProcess,Collection[2],3,4160,null,null,null,null
16555,00000000-0000-0000-0000-0000e9030000,Collection[27],Descriptor_Unit_2K12_Kub,Unit_2K12_Kub,True,True,0.05,89 : 18623 (True) - TAmmunition,3,12,A75E0D4235000000,RZP KUB-M,5,30,123,1,POL,1976,2,13,Collection[5],Collection[5],Collection[5],10,3,78 : 18624 (True) - TUIResourceTexture,null,Zoom123,Collection[3],5,2340,null,null,null,null
16556,00000000-0000-0000-0000-0000ea030000,Collection[25],Descriptor_Unit_2K22M_Tunguska_M,Unit_2K22M_Tunguska_M,True,True,null,89 : 18605 (True) - TAmmunition,3,12,3A3BEBDE350CD500,2K22 TUNGUSKA-M,5,31,123,1,URSS,1986,2,13,Collection[5],Collection[5],Collection[5],10,3,78 : 18632 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,3120,81 : 16557 (True) - TUniteAuSolDescriptor,null,null,null
16557,00000000-0000-0000-0000-0000eb030000,Collection[25],Descriptor_Unit_2K22_Tunguska,Unit_2K22_Tunguska,True,True,null,89 : 18605 (True) - TAmmunition,3,11,B8CECEBA370CD500,2K22 TUNGUSKA,5,31,123,1,URSS,1982,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18637 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,3120,81 : 17971 (True) - TUniteAuSolDescriptor,null,null,null
16558,00000000-0000-0000-0000-0000ec030000,Collection[25],Descriptor_Unit_2S15_Norov,Unit_2S15_Norov,True,True,null,89 : 18605 (True) - TAmmunition,1,10,3B7DD39821740300,2S15 NOROV,3,22,101,1,URSS,1980,1,8,Collection[5],Collection[5],Collection[5],10,1,78 : 18650 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],8,3120,81 : 17613 (True) - TUniteAuSolDescriptor,True,null,null
16559,00000000-0000-0000-0000-0000ed030000,Collection[25],Descriptor_Unit_2S19_MstaS,Unit_2S19_MstaS,True,True,0.05,89 : 18605 (True) - TAmmunition,2,22,9D99E39722740300,2S19 MSTA-S,3,32,119,1,URSS,1989,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18658 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[2],5,3120,81 : 16563 (True) - TUniteAuSolDescriptor,null,null,null
16560,00000000-0000-0000-0000-0000ee030000,Collection[25],Descriptor_Unit_2S1_Gozdzik,Unit_2S1_Gozdzik,True,True,null,89 : 18605 (True) - TAmmunition,2,21,B0FBA73F1D09DD00,2S1 GOZDZIK,3,32,119,1,POL,1974,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18664 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,Zoom123,Collection[4],8,3120,null,null,null,null
16561,00000000-0000-0000-0000-0000ef030000,Collection[25],Descriptor_Unit_2S1_Gvozdika,Unit_2S1_Gvozdika,True,True,null,89 : 18605 (True) - TAmmunition,2,21,B09BFEF41E09DD00,2S1 GVOZDIKA,3,32,119,1,URSS,1971,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18669 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[4],8,3120,null,null,null,null
16562,00000000-0000-0000-0000-0000f0030000,Collection[25],Descriptor_Unit_2S23_Nona_SVK,Unit_2S23_Nona_SVK,True,True,null,89 : 18605 (True) - TAmmunition,2,21,E64C63C4D00D0000,2S23 NONA-SVK,3,32,119,1,URSS,1990,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18677 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[4],7,4160,81 : 16568 (True) - TUniteAuSolDescriptor,null,null,null
16563,00000000-0000-0000-0000-0000f1030000,Collection[25],Descriptor_Unit_2S3M_Akatsiya,Unit_2S3M_Akatsiya,True,True,0.05,89 : 18605 (True) - TAmmunition,2,21,2E9E9BF07211DD00,2S3M AKATSIYA,3,32,119,1,URSS,1975,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18683 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,2600,81 : 16564 (True) - TUniteAuSolDescriptor,null,null,null
16564,00000000-0000-0000-0000-0000f2030000,Collection[25],Descriptor_Unit_2S3_Akatsiya,Unit_2S3_Akatsiya,True,True,0.05,89 : 18623 (True) - TAmmunition,2,20,BE8BE726BC10DD00,2S3 AKATSIYA,3,32,119,1,URSS,1971,2,13,Collection[5],Collection[5],Collection[5],10,null,78 : 18688 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,2600,81 : 16561 (True) - TUniteAuSolDescriptor,null,null,null
16565,00000000-0000-0000-0000-0000f3030000,Collection[25],Descriptor_Unit_2S7M_Malka,Unit_2S7M_Malka,True,True,0.05,89 : 18605 (True) - TAmmunition,2,26,261C9BD785740300,2S7M MALKA,3,32,119,1,URSS,1983,2,13,Collection[5],Collection[5],Collection[5],10,1,78 : 18695 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,2600,81 : 16566 (True) - TUniteAuSolDescriptor,null,null,null
16566,00000000-0000-0000-0000-0000f4030000,Collection[25],Descriptor_Unit_2S7_Pion,Unit_2S7_Pion,True,True,0.05,89 : 18605 (True) - TAmmunition,2,25,33ED6A4837000000,2S7 PION,3,32,119,1,URSS,1975,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18700 (True) - TUIResourceTexture,null,MaterialInterface2D_Blend,Collection[3],5,2600,null,null,null,null
16567,00000000-0000-0000-0000-0000f5030000,Collection[25],Descriptor_Unit_2S7_Piwonia,Unit_2S7_Piwonia,True,True,0.05,89 : 18605 (True) - TAmmunition,2,25,A63BD3BCAB21DD00,2S7 PIWONIA,3,32,119,1,POL,1985,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18705 (True) - TUIResourceTexture,null,Zoom123,Collection[3],5,2600,null,null,null,null
16568,00000000-0000-0000-0000-0000f6030000,Collection[25],Descriptor_Unit_2S9_Nona,Unit_2S9_Nona,True,True,null,89 : 18605 (True) - TAmmunition,2,21,E64C634A37000000,2S9 NONA,3,32,119,1,URSS,1981,2,13,Collection[5],Collection[5],Collection[5],10,2,78 : 18711 (True) - TUIResourceTexture,78 : 18607 (True) - TUIResourceTexture,MaterialInterface2D_Blend,Collection[6],8,2600,81 : 17343 (True) - TUniteAuSolDescriptor,null,null,null
16569,00000000-0000-0000-0000-0000f7030000,Collection[25],Descriptor_Unit_2eme_REP,Unit_2eme_REP,True,null,-0.15,89 : 18727 (True) - TAmmunition,1,95,32DDA06A07000000,GROUPE CMDT,3,24,125,null,FR,1975,1,3,Collection[5],Collection[5],Collection[5],10,2,78 : 18728 (True) - TUIResourceTexture,78 : 18729 (True) - TUIResourceTexture,Divers,Collection[5],1,1560,null,null,null,null
