[ID],DescriptorId,Name,TypeName,TypeArme,Arme,ProjectileType,Puissance,TempsEntreDeuxTirs,TempsEntreDeuxFx,PorteeMaximale,PorteeMaximaleBateaux,AngleDispersion,RadiusSplashSuppressDamages,SuppressDamages,RayonPinned,TirIndirect,TirReflexe,FX_tir_sans_physic,FX_vitesse_de_depart,FX_frottement,FX_tir_tendu,TempsEntreDeuxSalves,NbrProjectilesSimultanes,NbTirParSalves,AffichageMunitionParSalve,Level,HitRollRule,FireDescriptor,FireTriggeringProbability,RadiusSplashPhysicalDamages,PhysicalDamages,Caliber,WeaponCursorType,PorteeMinimale,PorteeMinimaleBateaux,DispersionAtMinRange,DispersionAtMaxRange,NoiseDissimulationMalus,TempsDeVisee,InterfaceWeaponTexture,AffichageMenu,SupplyCost,SmokeDescriptor,PorteeMaximaleTBA,PorteeMinimaleTBA,PorteeMaximaleHA,MissileDescriptor,MissileTimeBetweenCorrections,Guidance,EfficaciteSelonPortee,AffecteParNombre,NeedModelChange,IsFireAndForget,IgnoreInflammabilityConditions,InterdireTirReflexe,CorrectedShotDispersionMultiplier,IsSubAmmunition,RandomDispersion,TempsAnimation,PorteeMaximaleProjectile,PorteeMinimaleProjectile,PorteeMinimaleHA
19637,00000000-0000-0000-0600-000031080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,4,3,500,0.5,0.5,208000,208000,0.1,52000,180,20800,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19655,00000000-0000-0000-0600-00002f080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,4,3,450,0.5,0.5,208000,208000,0.1,52000,180,13000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19759,00000000-0000-0000-0600-000030080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,4,3,600,0.5,0.5,208000,208000,0.1,52000,180,26000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20280,00000000-0000-0000-0600-000032080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,600,0.5,0.5,208000,208000,0.1,52000,180,26000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.25,10400,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28814,00000000-0000-0000-0600-00002d080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,600,0.5,0.5,208000,208000,0.1,78000,540,26000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.25,45500,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28827,00000000-0000-0000-0600-00002e080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,600,0.5,0.5,208000,208000,0.1,52000,240,26000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.25,39000,50,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28887,00000000-0000-0000-0600-00002c080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,600,0.5,0.5,208000,208000,0.1,104000,360,26000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.25,52000,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29105,00000000-0000-0000-0600-000028080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,250,0.5,0.5,208000,208000,0.1,7800,150,10400,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.05,3900,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29202,00000000-0000-0000-0600-00002a080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,350,0.5,0.5,208000,208000,0.1,10400,200,11700,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.1,5200,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
29247,00000000-0000-0000-0600-000029080000,9CF6380000000000,9CF6380000000000,9CF6380000000000,3,3,450,0.5,0.5,208000,208000,0.1,13000,250,13000,True,True,True,10000,0.001,True,5,1,1,1,5,113 : 32563 (False) - TModernWarfareHitRollRule,82 : 32564 (True) - TUniteDescriptor,0.15,6500,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
