[ID],ControllerName,FuelCapacity,FuelMoveDuration
32554,FuelController,500,750
32573,FuelController,500,250
32586,FuelController,500,500
32600,FuelController,350,600
32617,FuelController,550,500
32629,FuelController,800,500
32648,FuelController,2000,500
32735,FuelController,450,500
32762,FuelController,150,600
32771,FuelController,400,500
32779,FuelController,1000,500
32788,FuelController,480,400
32809,FuelController,360,480
32823,FuelController,500,600
32842,FuelController,520,1000
32851,FuelController,520,900
32864,FuelController,450,300
32876,FuelController,1000,600
32914,FuelController,1000,530
32921,FuelController,1300,550
33034,FuelController,1000,420
33041,FuelController,300,660
33068,FuelController,200,600
33083,FuelController,580,360
33148,FuelController,680,600
33169,FuelController,420,1200
33195,FuelController,460,600
33202,FuelController,80,750
33221,FuelController,1000,850
33257,FuelController,300,600
33274,FuelController,300,450
33286,FuelController,300,500
33293,FuelController,450,600
33391,FuelController,1300,500
33426,FuelController,220,600
33445,FuelController,220,500
33465,FuelController,150,500
33478,FuelController,300,750
33552,FuelController,290,750
33579,FuelController,120,400
33619,FuelController,350,500
33653,FuelController,400,800
33667,FuelController,100,500
33679,FuelController,300,550
33702,FuelController,400,350
33774,FuelController,510,500
33812,FuelController,80,500
33830,FuelController,400,1000
33855,FuelController,1500,230
33879,FuelController,750,480
33904,FuelController,200,1000
33928,FuelController,100,600
33945,FuelController,80,400
33965,FuelController,450,450
33990,FuelController,85,700
34001,FuelController,450,1000
34016,FuelController,1000,650
34024,FuelController,870,600
34079,FuelController,600,500
34126,FuelController,970,600
34150,FuelController,890,480
34158,FuelController,1360,550
34177,FuelController,60,1000
34190,FuelController,1200,550
34198,FuelController,760,460
34210,FuelController,1450,500
34223,FuelController,950,400
34230,FuelController,960,500
34237,FuelController,1600,700
34250,FuelController,2040,450
34257,FuelController,960,600
34268,FuelController,820,400
34274,FuelController,200,500
34315,FuelController,200,800
34374,FuelController,1950,550
34406,FuelController,800,640
34452,FuelController,890,400
34459,FuelController,890,500
34522,FuelController,220,800
34558,FuelController,1000,350
34575,FuelController,420,410
34584,FuelController,500,320
34598,FuelController,250,700
34681,FuelController,420,750
34698,FuelController,350,650
34711,FuelController,350,350
34717,FuelController,500,650
34723,FuelController,450,480
34734,FuelController,450,390
34741,FuelController,400,650
34748,FuelController,250,480
34755,FuelController,450,650
34762,FuelController,750,650
34801,FuelController,100,300
34814,FuelController,150,450
34851,FuelController,330,710
34931,FuelController,800,350
34937,FuelController,500,350
34960,FuelController,1280,600
34983,FuelController,500,800
34999,FuelController,700,700
35004,FuelController,75,320
35014,FuelController,100,630
35152,FuelController,65,1000
35237,FuelController,80,450
35255,FuelController,290,800
35285,FuelController,300,250
35332,FuelController,380,270
35470,FuelController,75,500
35510,FuelController,350,480
35521,FuelController,400,450
35533,FuelController,1000,480
35549,FuelController,1100,720
35560,FuelController,1000,700
35603,FuelController,300,300
35617,FuelController,500,850
35638,FuelController,1500,500
35655,FuelController,760,440
35681,FuelController,650,400
35693,FuelController,1000,300
35888,FuelController,600,1000
35906,FuelController,100,400
35923,FuelController,250,1600
35929,FuelController,150,1000
35948,FuelController,300,240
35954,FuelController,700,480
35961,FuelController,680,480
35991,FuelController,1700,650
36167,FuelController,1600,400
36178,FuelController,250,150
36225,FuelController,510,350
36428,FuelController,420,450
36434,FuelController,450,420
36541,FuelController,450,200
36558,FuelController,1900,425
36569,FuelController,1900,435
36588,FuelController,1900,440
36661,FuelController,145,750
36685,FuelController,700,250
36722,FuelController,400,200
36733,FuelController,950,750
36744,FuelController,1000,250
36826,FuelController,600,560
36855,FuelController,450,430
36897,FuelController,1450,520
36917,FuelController,1500,480
36924,FuelController,200,300
37018,FuelController,1200,700
37040,FuelController,650,450
37046,FuelController,210,560
37163,FuelController,500,400
37277,FuelController,650,520
37307,FuelController,850,500
37345,FuelController,1100,400
37352,FuelController,1100,500
37365,FuelController,1400,500
37392,FuelController,60,300
37529,FuelController,450,400
37676,FuelController,230,280
37682,FuelController,150,440
37694,FuelController,1240,360
37702,FuelController,1400,360
37715,FuelController,1240,350
37740,FuelController,75,800
37824,FuelController,600,510
37861,FuelController,1200,450
37977,FuelController,330,270
38018,FuelController,1500,850
38030,FuelController,200,700
38075,FuelController,85,400
38088,FuelController,50,350
38277,FuelController,200,450
38414,FuelController,480,1000
38510,FuelController,540,1000
38731,FuelController,700,350
38845,FuelController,780,320
38851,FuelController,700,400
38871,FuelController,100,650
38911,FuelController,200,660
38964,FuelController,650,300
39093,FuelController,180,650
39133,FuelController,300,1000
39165,FuelController,400,600
39214,FuelController,1350,560
39220,FuelController,250,300
39231,FuelController,120,200
39238,FuelController,600,700
39250,FuelController,870,630
39271,FuelController,370,200
39302,FuelController,440,250
39308,FuelController,550,400
39401,FuelController,965,500
39452,FuelController,1360,500
39458,FuelController,1360,650
39474,FuelController,2040,700
39487,FuelController,2040,680
39633,FuelController,2040,500
39723,FuelController,1250,600
39757,FuelController,500,550
39764,FuelController,200,430
39799,FuelController,115,400
39805,FuelController,680,400
39826,FuelController,600,450
39916,FuelController,980,500
39948,FuelController,140,250
39954,FuelController,725,200
39980,FuelController,400,300
39987,FuelController,545,370
40003,FuelController,1360,700
40046,FuelController,410,300
40082,FuelController,1600,600
40095,FuelController,800,400
40116,FuelController,545,500
40122,FuelController,800,450
40134,FuelController,1600,900
40141,FuelController,1600,720
40158,FuelController,360,500
40193,FuelController,1100,350
40420,FuelController,300,1200
40456,FuelController,120,600
40533,FuelController,200,750
40544,FuelController,550,1000
40554,FuelController,45,500
40590,FuelController,300,800
40601,FuelController,680,450
40619,FuelController,350,200
40747,FuelController,200,900
40760,FuelController,200,650
41428,FuelController,800,300
41454,FuelController,1000,575
41470,FuelController,1500,575
41503,FuelController,1500,600
41522,FuelController,1000,470
41545,FuelController,250,680
41557,FuelController,1000,550
41571,FuelController,300,680
41589,FuelController,1200,900
41602,FuelController,570,680
41639,FuelController,450,680
41645,FuelController,1500,460
41690,FuelController,250,550
41696,FuelController,570,575
41728,FuelController,900,500
41758,FuelController,2000,2000
41765,FuelController,2000,1100
41800,FuelController,950,685
41839,FuelController,450,785
41888,FuelController,1500,550
41959,FuelController,1500,750
41975,FuelController,1000,450
42097,FuelController,600,440
42134,FuelController,1000,790
42146,FuelController,600,350
42183,FuelController,1500,950
42415,FuelController,180,430
42440,FuelController,300,540
42514,FuelController,1000,800
42522,FuelController,1800,750
42635,FuelController,1000,540
42748,FuelController,1720,750
42839,FuelController,4500,135
42856,FuelController,2500,75
42867,FuelController,4000,120
42883,FuelController,3000,90
42910,FuelController,2000,60
42928,FuelController,5500,165
42951,FuelController,5000,150
43133,FuelController,3500,105
43149,FuelController,6500,195
43462,FuelController,6000,180
107910,FuelController,2500,120
