[ID],MinimalHitProbability,MinimalCritProbability,HitProbability,HitProbabilityWhileMoving
32563,0.05,0.01,null,null
89604,0.05,0.01,0.25,0.05
89606,0.05,0.01,0.1,0.05
89622,0.05,0.01,0.4,0.35
89646,0.05,0.01,0.5,0.35
89648,0.05,0.01,0.65,0.65
89651,0.05,0.01,0.5,0.5
89666,0.05,0.01,0.5,0.25
89672,0.05,0.01,0.15,0.05
89710,0.05,0.01,0.2,0.05
89714,0.05,0.01,0.2,0.2
89716,0.05,0.01,0.4,0.2
89738,0.05,0.01,0.3,0.2
89740,0.05,0.01,0.4,0.4
89742,0.05,0.01,0.6,0.05
89744,0.05,0.01,0.3,0.15
89760,0.05,0.01,0.4,0.1
89762,0.05,0.01,0.2,0.1
89781,0.05,0.01,0.5,0.05
89794,0.05,0.01,0.55,0.55
89799,0.05,0.01,0.35,0.35
89805,0.05,0.01,0.5,0.4
89831,0.05,0.01,0.3,0.05
89857,0.05,0.01,0.4,0.05
89872,0.05,0.01,0.5,0.1
89879,0.05,0.01,0.55,0.05
89894,0.05,0.01,0.35,0.05
89897,0.05,0.01,0.35,0.1
89900,0.05,0.01,0.45,0.05
89904,0.05,0.01,0.65,0.05
89915,0.05,0.01,0.65,0.3
89928,0.05,0.01,0.45,0.3
89930,0.05,0.01,0.6,0.6
89946,0.05,0.01,0.3,0.1
89971,0.05,0.01,0.6,0.15
90008,0.05,0.01,0.7,0.05
90025,0.05,0.01,0.8,0.8
90027,0.05,0.01,0.4,0.25
90054,0.05,0.01,0.45,0.45
90117,0.05,0.01,0.6,0.3
90120,0.05,0.01,0.7,0.5
90246,0.05,0.01,0.85,0.6
90263,0.05,0.01,0.45,0.2
90272,0.05,0.01,0.25,0.1
90282,0.05,0.01,0.15,0.1
90298,0.05,0.01,0.65,0.35
90303,0.05,0.01,0.45,0.25
90305,0.05,0.01,0.4,0.3
90308,0.05,0.01,0.45,0.1
90350,0.05,0.01,0.5,0.2
90460,0.05,0.01,0.95,0.2
90475,0.05,0.01,0.7,0.7
90495,0.05,0.01,0.7,0.4
90513,0.05,0.01,0.45,0.23
90639,0.05,0.01,0.65,0.55
90693,0.05,0.01,0.5,0.3
90718,0.05,0.01,0.3,0.3
90779,0.05,0.01,0.23,0.1
90849,0.05,0.01,0.6,0.4
90855,0.05,0.01,0.6,0.45
90858,0.05,0.01,0.6,0.5
90884,0.05,0.01,0.4,0.15
90951,0.05,0.01,0.7,null
90954,0.05,0.01,0.45,0.15
90957,0.05,0.01,0.55,0.25
90964,0.05,0.01,0.7,0.65
90967,0.05,0.01,0.65,0.5
91000,0.05,0.01,0.6,0.35
91007,0.05,0.01,0.55,0.3
91378,0.05,0.01,0.6,0.1
91566,0.05,0.01,0.6,0.55
91573,0.05,0.01,0.15,0.15
91622,0.05,0.01,0.05,0.05
91778,0.05,0.01,0.8,0.2
92007,0.05,0.01,0.55,0.15
92038,0.05,0.01,0.5,0.45
92175,0.05,0.01,0.5,0.15
92296,0.05,0.01,0.8,0.4
92358,0.05,0.01,0.45,0.35
92369,0.05,0.01,0.65,0.6
92526,0.05,0.01,0.55,0.5
92611,0.05,0.01,0.65,0.45
92616,0.05,0.01,0.55,0.45
92658,0.05,0.01,0.55,0.35
93852,0.05,0.01,0.75,0.85
93942,0.05,0.01,0.4,0.5
94240,0.05,0.01,0.25,0.15
94464,0.05,0.01,0.6,0.2
94467,0.05,0.01,0.6,0.25
94520,0.05,0.01,0.55,0.4
94823,0.05,0.01,0.55,0.1
95175,0.05,0.01,0.25,0.25
95556,0.05,0.01,0.7,0.35
95618,0.05,0.01,0.35,0.25
95665,0.05,0.01,0.35,0.2
95867,0.05,0.01,0.7,0.6
96000,0.05,0.01,0.1,0.1
97679,0.05,0.01,0.85,0.85
97874,0.05,0.01,0.75,0.75
107302,0.05,0.01,0.45,0.4
107310,0.05,0.01,1,1
109666,0.05,0.05,0.3,0.2
