[ID],ControllerName,VisibilityRollRule,_ShortDatabaseName
32556,ScannerController,139 : 44879 (False) - TModernWarfareVisibilityRollRule,null
32575,ScannerController,139 : 44912 (False) - TModernWarfareVisibilityRollRule,null
32602,ScannerController,139 : 44927 (False) - TModernWarfareVisibilityRollRule,null
32690,ScannerController,139 : 44992 (False) - TModernWarfareVisibilityRollRule,null
32790,ScannerController,139 : 45058 (False) - TModernWarfareVisibilityRollRule,null
33075,ScannerController,139 : 45283 (False) - TModernWarfareVisibilityRollRule,null
33831,ScannerController,139 : 45871 (False) - TModernWarfareVisibilityRollRule,null
33892,ScannerController,139 : 45926 (False) - TModernWarfareVisibilityRollRule,null
37695,ScannerController,139 : 49315 (False) - TModernWarfareVisibilityRollRule,null
38522,ScannerController,139 : 50107 (False) - TModernWarfareVisibilityRollRule,null
41111,ScannerController,139 : 52447 (False) - TModernWarfareVisibilityRollRule,null
41251,ScannerController,139 : 52600 (False) - TModernWarfareVisibilityRollRule,null
41418,ScannerController,139 : 52784 (False) - TModernWarfareVisibilityRollRule,null
41430,ScannerController,139 : 52790 (False) - TModernWarfareVisibilityRollRule,null
41478,ScannerController,139 : 52833 (False) - TModernWarfareVisibilityRollRule,null
41515,ScannerController,139 : 52868 (False) - TModernWarfareVisibilityRollRule,null
41524,ScannerController,139 : 52875 (False) - TModernWarfareVisibilityRollRule,null
41573,ScannerController,139 : 52910 (False) - TModernWarfareVisibilityRollRule,null
41660,ScannerController,139 : 52965 (False) - TModernWarfareVisibilityRollRule,null
42342,ScannerController,139 : 53529 (False) - TModernWarfareVisibilityRollRule,null
42841,ScannerController,139 : 53947 (False) - TModernWarfareVisibilityRollRule,null
42953,ScannerController,139 : 54039 (False) - TModernWarfareVisibilityRollRule,null
43015,ScannerController,139 : 54099 (False) - TModernWarfareVisibilityRollRule,null
43249,ScannerController,139 : 54324 (False) - TModernWarfareVisibilityRollRule,null
44757,ScannerController,139 : 55923 (False) - TModernWarfareVisibilityRollRule,null
108321,ScannerController,139 : 108322 (False) - TModernWarfareVisibilityRollRule,ScannerModuleDescriptor
