[ID],ControllerName,SupplyCapacity,SupplyDescriptor,DeploymentDuration,WithdrawalDuration,SupplyPriority
32945,ModernWarfareSupplyController,500,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,34
33162,ModernWarfareSupplyController,800,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,33
33984,ModernWarfareSupplyController,1750,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,31
34645,ModernWarfareSupplyController,2400,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,30
37147,ModernWarfareSupplyController,1100,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,32
38647,ModernWarfareSupplyController,2400,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,33
39855,ModernWarfareSupplyController,1000,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,4294967295
41203,ModernWarfareSupplyController,10000,9 : 21 (True) - TModernWarfareSupplyDescriptor,null,null,11
41222,ModernWarfareSupplyController,15000,9 : 21 (True) - TModernWarfareSupplyDescriptor,null,null,10
41416,ModernWarfareSupplyController,1000,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,24
41565,ModernWarfareSupplyController,1500,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,23
41750,ModernWarfareSupplyController,2500,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,22
41794,ModernWarfareSupplyController,3700,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,21
42116,ModernWarfareSupplyController,6000,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,20
42556,ModernWarfareSupplyController,3700,9 : 21 (True) - TModernWarfareSupplyDescriptor,0.2,0.2,24
44753,ModernWarfareSupplyController,16000,9 : 21 (True) - TModernWarfareSupplyDescriptor,null,null,null
