[ID],Ammunition,EffectTag,SalvoStockIndex,SalvoStockIndex_ForInterface,TirEnMouvement,TirContinu,AnimateOnlyOneSoldier
56024,89 : 77217 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56025,89 : 77218 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56026,89 : 77219 (True) - TAmmunition,weapon_effet_tag3,1,1,True,null,null
56028,89 : 77220 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
56060,89 : 77245 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56077,89 : 77256 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
56078,89 : 77257 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,null
56086,89 : 77256 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
56087,89 : 77262 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,null
56103,89 : 77273 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
56104,89 : 77274 (True) - TAmmunition,weapon_effet_tag2,null,null,True,null,null
56114,89 : 77280 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56115,89 : 77281 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56116,89 : 77282 (True) - TAmmunition,weapon_effet_tag4,1,1,True,null,null
56117,89 : 77283 (True) - TAmmunition,weapon_effet_tag3,2,2,True,True,True
56118,89 : 77283 (True) - TAmmunition,weapon_effet_tag5,2,2,True,True,True
56130,89 : 77292 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56131,89 : 77293 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56132,89 : 77294 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
56140,89 : 77292 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56141,89 : 77293 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56142,89 : 77294 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
56153,89 : 77307 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56154,89 : 77308 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56155,89 : 77309 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
56156,89 : 77310 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
56165,89 : 77316 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56166,89 : 77317 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56167,89 : 77318 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
56168,89 : 77310 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
56177,89 : 77324 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56178,89 : 77325 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56179,89 : 77310 (True) - TAmmunition,weapon_effet_tag3,1,1,True,True,True
56188,89 : 77332 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56189,89 : 77333 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56198,89 : 77339 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56199,89 : 77340 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56207,89 : 77339 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56208,89 : 77340 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56217,89 : 77349 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56218,89 : 77350 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56219,89 : 77351 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
56223,89 : 77354 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
56224,89 : 77355 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
56225,89 : 77356 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
56235,89 : 77366 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
56236,89 : 77367 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
56237,89 : 77368 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,True
56238,89 : 77369 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
56243,89 : 77374 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
56244,89 : 77375 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
56245,89 : 77376 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,True
56246,89 : 77377 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
56251,89 : 77382 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
56252,89 : 77383 (True) - TAmmunition,weapon_effet_tag3,null,null,True,null,null
56253,89 : 77384 (True) - TAmmunition,weapon_effet_tag2,1,1,null,null,True
56254,89 : 77385 (True) - TAmmunition,weapon_effet_tag4,2,2,null,True,True
56265,89 : 77393 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56274,89 : 77398 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56282,89 : 77403 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56290,89 : 77393 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56299,89 : 77413 (True) - TAmmunition,weapon_effet_tag1,null,null,True,null,null
56309,89 : 77421 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56319,89 : 77429 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56335,89 : 77440 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56336,89 : 77441 (True) - TAmmunition,weapon_effet_tag2,1,1,True,null,null
56337,89 : 77442 (True) - TAmmunition,weapon_effet_tag5,null,null,null,null,null
56338,89 : 77443 (True) - TAmmunition,weapon_effet_tag3,2,2,True,True,True
56339,89 : 77444 (True) - TAmmunition,weapon_effet_tag4,2,2,True,True,True
56351,89 : 77453 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56352,89 : 77454 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56353,89 : 77455 (True) - TAmmunition,weapon_effet_tag3,1,1,null,null,null
56362,89 : 77461 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56363,89 : 77462 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56374,89 : 77471 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56375,89 : 77472 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56377,89 : 77473 (True) - TAmmunition,weapon_effet_tag3,1,1,True,True,True
56386,89 : 77478 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56387,89 : 77479 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56388,89 : 77473 (True) - TAmmunition,weapon_effet_tag3,1,1,True,True,True
56400,89 : 77487 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
56408,89 : 77461 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56409,89 : 77462 (True) - TAmmunition,weapon_effet_tag2,null,null,null,null,null
56419,89 : 77443 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
56420,89 : 77444 (True) - TAmmunition,weapon_effet_tag2,null,null,True,True,null
56428,89 : 77501 (True) - TAmmunition,weapon_effet_tag1,null,null,null,null,null
56436,89 : 77443 (True) - TAmmunition,weapon_effet_tag1,null,null,True,True,null
