[ID],ControllerName,Maxspeed,UnitMovingType,FlyingAltitude,MinimalAltitude,PhysicsConfiguration,CriticalEffectModule,GunMuzzleSpeed,LandingGearOutPhysicalPropertyName,LandingGearSubDepictionName,FrontLandingGearMeshNodeName,BackLandingGearMeshNodeName
42838,MouvementHandlerController,26000,6,26000,5200,153 : 53946 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42855,MouvementHandlerController,31200,6,39000,7800,153 : 53958 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42866,MouvementHandlerController,31200,6,52000,10400,153 : 53966 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42875,MouvementHandlerController,31200,6,52000,10400,153 : 53973 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42882,MouvementHandlerController,31200,6,26000,5200,153 : 53980 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42892,MouvementHandlerController,31200,6,65000,13000,153 : 53988 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42901,MouvementHandlerController,31200,6,39000,7800,153 : 53995 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42909,MouvementHandlerController,39000,6,52000,10400,153 : 54003 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42918,MouvementHandlerController,39000,6,52000,10400,153 : 54011 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42927,MouvementHandlerController,39000,6,26000,5200,153 : 54017 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42936,MouvementHandlerController,39000,6,39000,7800,153 : 54023 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42943,MouvementHandlerController,39000,6,26000,5200,153 : 54030 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42950,MouvementHandlerController,39000,6,52000,10400,153 : 54038 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42960,MouvementHandlerController,39000,6,52000,10400,153 : 54047 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42967,MouvementHandlerController,31200,6,52000,10400,153 : 54055 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42974,MouvementHandlerController,31200,6,39000,7800,153 : 54062 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42984,MouvementHandlerController,39000,6,78000,15600,153 : 54070 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42991,MouvementHandlerController,39000,6,65000,13000,153 : 54077 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
42999,MouvementHandlerController,31200,6,39000,7800,153 : 54084 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43006,MouvementHandlerController,31200,6,39000,7800,153 : 54090 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43013,MouvementHandlerController,52000,6,65000,13000,153 : 54098 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43022,MouvementHandlerController,52000,6,52000,10400,153 : 54107 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43030,MouvementHandlerController,52000,6,52000,10400,153 : 54115 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43037,MouvementHandlerController,46800,6,65000,13000,153 : 54121 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43044,MouvementHandlerController,39000,6,65000,13000,153 : 54128 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43051,MouvementHandlerController,39000,6,26000,5200,153 : 54135 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43058,MouvementHandlerController,39000,6,26000,5200,153 : 54142 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43065,MouvementHandlerController,31200,6,26000,5200,153 : 54148 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43072,MouvementHandlerController,39000,6,39000,7800,153 : 54155 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43079,MouvementHandlerController,39000,6,52000,10400,153 : 54163 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43086,MouvementHandlerController,39000,6,39000,7800,153 : 54170 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43093,MouvementHandlerController,52000,6,65000,13000,153 : 54178 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43101,MouvementHandlerController,52000,6,65000,13000,153 : 54186 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43109,MouvementHandlerController,46800,6,39000,7800,153 : 54194 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43116,MouvementHandlerController,46800,6,39000,7800,153 : 54202 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43125,MouvementHandlerController,46800,6,39000,7800,153 : 54210 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
43132,MouvementHandlerController,46800,6,65000,13000,153 : 54217 (True) - TAirplanePhysicsConfiguration,97 : 42830 (True) - TCriticalEffectModuleDescriptor,300000,InShowRoom,Landing Gear,Train_Avant,Train_Arriere
