[ID],ControllerName,TypeUnitValue,TypeUnitHintToken,NameInMenuToken,GenerateName,Filters,MotherCountry,UnitInfoJaugeType,Training,CIWS,Sailing
32539,TypeUnitController,22,B9CBD3527E2F0000,8E14D59D2C0F8600,True,Collection[4],TCH,null,null,null,null
32566,TypeUnitController,null,38EECAE602000000,A75E0D4235000000,True,Collection[4],POL,5,null,null,null
32581,TypeUnitController,11,31EAB6EA6E2E0000,3A3BEBDE350CD500,True,Collection[4],URSS,5,null,null,null
32589,TypeUnitController,11,31EAB6EA6E2E0000,B8CECEBA370CD500,True,Collection[4],URSS,5,null,null,null
32594,TypeUnitController,6,F45DA71E00000000,3B7DD39821740300,True,Collection[4],URSS,2,null,null,null
32606,TypeUnitController,22,B9CBD3527E2F0000,9D99E39722740300,True,Collection[4],URSS,null,null,null,null
32613,TypeUnitController,22,B9CBD3527E2F0000,B0FBA73F1D09DD00,True,Collection[4],POL,null,null,null,null
32619,TypeUnitController,22,B9CBD3527E2F0000,B09BFEF41E09DD00,True,Collection[4],URSS,null,null,null,null
32624,TypeUnitController,26,EEFCDD667ED31700,E64C63C4D00D0000,True,Collection[4],URSS,null,null,null,null
32632,TypeUnitController,22,B9CBD3527E2F0000,2E9E9BF07211DD00,True,Collection[4],URSS,null,null,null,null
32638,TypeUnitController,22,B9CBD3527E2F0000,BE8BE726BC10DD00,True,Collection[4],URSS,null,null,null,null
32643,TypeUnitController,22,B9CBD3527E2F0000,261C9BD785740300,True,Collection[4],URSS,null,null,null,null
32650,TypeUnitController,22,B9CBD3527E2F0000,33ED6A4837000000,True,Collection[4],URSS,null,null,null,null
32655,TypeUnitController,22,B9CBD3527E2F0000,A63BD3BCAB21DD00,True,Collection[4],POL,null,null,null,null
32660,TypeUnitController,26,EEFCDD667ED31700,E64C634A37000000,True,Collection[4],URSS,null,null,null,null
32666,TypeUnitController,null,A9DDC97403000000,32DDA06A07000000,True,Collection[4],FR,1,D6173D5C19619C07,null,null
32682,TypeUnitController,19,34AA72EB3C010000,D702690FA7CAEA00,True,null,FR,1,D6173D5C19619C07,null,null
32694,TypeUnitController,null,EB3CB12A07000000,E96CC62DEB4A0602,True,Collection[4],CAN,1,D6173D5C19619C07,null,null
